name,quantity,unit,carbohydrates,protein,fat,calories
alcohol - alcohol,2,jigger,0,0,0,200
spaghetti - spaghetti cup,2,cups,0,0,2,420
black beans  canned,0,cup,0,4,0,66
burger king - double whopper  no cheese,1,sandwich,0,46,52,840
burger king - apple turnover,1,Container,0,2,13,261
mcdonald's - junior chicken,1,Burger,0,12,20,380
heinz - ketchup packet small,9,grams,0,0,0,10
wendys - dave's triple no cheese,1,Burger,0,67,61,960
wendy's - crispy chicken deluxe sandwich,1,Sandwich,0,19,24,460
mcdonald's - apple pie,0,PC,0,2,14,270
pb2 - powdered peanut butter original flavour,19,grams,0,9,2,95
tim hortons - - hash brown,2,Hashbrown,0,2,12,240
oreo - birthday cake,4,Cookies,0,2,14,300
starbucks - banana loaf,0,slice,0,5,14,361
wendy's - dave's double (plain  no cheese),1,Sandwich,0,45,38,660
wendy's - chicken nuggets,6,nuggets,0,14,18,270
heinz - honey mustard dip,25,ml,0,0,0,50
wendy's - fries  small,1,container,0,4,15,310
compliments - caramel popcorn,83,grams,0,3,12,382
chinese moon cake - moon cake,60,grams,0,5,20,344
fat - misc. fat,25,grams,0,0,25,225
my protein - whey protein isolate,35,grams,0,28,1,131
simply protein - peanut butter chocolate snack bar,1,bar,0,12,8,170
oreo - oreo thins (6/5/2022),16,cookies,0,4,24,560
quaker quick oats - quick oats - dry,80,grams,0,11,5,293
compliments - jujubes,8,pieces,0,0,0,140
compliments organic - chocolate,6,squares,0,4,15,220
wendy's - spicy chicken,1,Sandwich,0,29,20,510
wendy's - double without cheese  only mustard,1,hamburger,0,46,32,620
teriyaki experience - beef teriyaki,524,grams,0,37,9,695
gelato - gelato,80,grams,0,4,12,208
pho 79 - beef pho (large),0,cups,0,68,13,786
white claw,5,can,0,0,0,497
blue diamond - almond breeze  original unsweetened almondmilk,161,ml,0,1,2,20
sriracha,5,teaspoon,0,1,0,24
kirkland signature - original  soy beverage,65,ml,0,2,1,25
broccoli,100,grams,0,3,0,34
oreo - mini oreo,0,cookies,0,3,17,392
pho - brisket pho,0,Serving,0,27,7,301
mcdonald's canada - apple pie,0,bar,0,2,6,135
costco - polish hotdog,1,hotdog,0,23,33,570
chipotle - steak,4,oz,0,30,7,190
chipotle - black beans,4,oz,0,7,1,120
chipotle - cilantro-lime white rice,4,oz,0,4,4,185
chipotle - fresh tomato salsa,0,oz,0,1,0,20
generic - salmon avacado roll,0,roll,0,7,4,152
wegmans' shushi  salmon roll  small - salmon roll,1,roll,0,7,3,120
ace - tuna roll,1,pc,0,8,0,150
corn  sweet  yellow  raw,155,grams,0,5,2,133
silk - boisson de soya enrichie,415,ml,0,12,7,175
sesame snaps - candy,2,pack,0,8,22,360
general mills - cheerios - vanilla spice,40,grams,0,2,1,123
burger king - double whopper - no mayo - double whopper,1,burger,0,47,39,740
mcdonald's - triple hamburger,1,Burger,0,27,21,420
carrots,220,grams,0,2,1,90
great value - bread - white,4,slice,0,8,4,280
oreo nabisco - oreo,5,2,0,2,13,288
shredded lettuce,2,cup,0,1,0,16
canadian protein - unflavoured vegan protein blend,33,grams,0,24,2,123
celebration  cookies - cookie,0,Cookies,0,10,33,760
generic - black plum,140,grams,0,1,0,42
skyr - fat free yogurt,220,grams,0,20,1,126
green grapes - green grapes,140,grams,0,1,0,87
1g - carbs,35,grams,0,0,0,140
orville - popcorn kernel,89,grams,0,11,3,356
dempsters - white bread,93,grams,0,8,2,236
ip healthy copycat starbucks egg bite - egg bite,2,Bites,0,15,10,170
starbucks - tall iced coffee with almond milk,12,oz,0,0,1,80
sandwich - tuna,0,grams,0,10,4,140
watermelon,650,grams,0,4,1,195
perdue - cooked chicken breast,205,grams,0,63,2,289
roti,95,grams,0,7,9,284
beef flank steak - steak,390,grams,0,110,165,757
steak - shank center cut beef  bone in,0,lb(s),0,125,23,728
nescafé - café instant,4,grams,0,0,0,3
beef liver - beef liver (ounces),35,grams,0,7,1,47
mcdonald's - grilled chicken classic sandwich,1,sandwich,0,28,9,350
cantaloupe,600,grams,0,5,1,204
starbucks - double-smoked bacon  cheddar and egg sandwich,0,Sandwich,0,15,19,343
smuckers - no sugar added wildberry,1,tbsp,0,0,0,20
eye of round - beef eye of round steak,342,grams,0,73,24,550
liberty - vanilla greek yogurt (0%),190,grams,0,16,0,152
orville redenbacher's - original gourmet popping corn,126,grams,0,15,4,504
great value peas and carrots - frozen vegetables,458,grams,0,16,2,242
